,Rank,Title,Lifetime Gross,Year,inflation_adjusted_gross
162,163,The Martian,630620818,2015,630620818.0
163,164,Hancock,629443428,2008,671223505.5165603
164,165,Water Gate Bridge,626571697,2022,626571697.0
165,166,Fast Five,626137675,2011,639095280.7381111
166,167,Iron Man 2,623933331,2010,656947523.5609843
167,168,Ratatouille,623726085,2007,690664538.5859593
168,169,Ant-Man and the Wasp,622674139,2018,622674139.0
169,170,How to Train Your Dragon 2,621537519,2014,621537519.0
170,171,Logan,619179950,2017,619179950.0
171,172,The Lost World: Jurassic Park,618638999,1997,884958270.0087602
172,173,Casino Royale,616505162,2006,702112530.5765278
173,174,The Passion of the Christ,612054506,2004,743907052.6763579
174,175,Life of Pi,609016565,2012,609016565.0
175,176,Ready Player One,607274134,2018,607274134.0
176,177,Transformers: The Last Knight,605425157,2017,605425157.0
177,178,Madagascar: Escape 2 Africa,603900354,2008,643984978.7335801
178,179,War of the Worlds,603873119,2005,709911136.1171838
179,180,Tangled,592462816,2010,623811808.7862934
180,181,Quantum of Solace,589580482,2008,628714607.7124239
181,182,Men in Black,589390539,1997,843118575.7705047
182,183,The Croods,587235983,2013,587235983.0
183,184,The Hangover Part II,586764305,2011,598907098.5563642
184,185,Iron Man,585796247,2008,624679189.485135
185,186,I Am Legend,585410052,2007,648236418.472321
186,187,"Monsters, Inc.",579707738,2001,751538217.9467646
187,188,Operation Red Sea,579330426,2018,579330426.0
188,189,Night at the Museum,574481229,2006,654253190.9277084
189,190,Fifty Shades of Grey,569651467,2015,569651467.0
190,191,Kong: Skull Island,566652812,2017,566652812.0
191,192,The Smurfs,563749323,2011,575415833.0252291
192,193,Cars 2,559852396,2011,571438261.0717751
193,194,King Kong,556906378,2005,654697198.9274552
194,195,Puss in Boots,554987477,2011,566472665.00846
195,196,The Mermaid,553810228,2016,553810228.0
196,197,Armageddon,553709788,1998,779929110.8347975
